author_id,year,treat,log_us_federal_amount,log_us_amount,log_all_amount,log_us_federal_grant_count,log_us_grant_count,log_all_grant_count,reference_overlap,word2vec_topic_exploration_30,concept_pivot_new_share_01,topic_change,career_age,log_paper_count,log_cf,log_all_us_collaborators_count,ethnically_chinese,non_ethnically_chinese,high_list_related_field,low_list_related_field,junior_scientist,senior_scientist
10239,2020,1,0.0,0.0,8.2183151,0.0,0.0,0.69314718,0.090431131,0.13321213,0.657767,0.50687009,11,2.1972246,1.929612,3.4965076,1,0,0,1,1,0
10239,2021,1,0.0,0.0,8.2183151,0.0,0.0,0.69314718,0.11062454,,0.66459626,0.52926481,12,1.6094379,1.1946911,0.69314718,1,0,0,1,1,0
10239,2022,1,0.0,0.0,8.2183151,0.0,0.0,0.69314718,0.073714003,0.12834376,0.66096866,0.55282456,13,2.0794415,0.94374633,3.4339871,1,0,0,1,1,0
10239,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.24678917,,,0.53813899,14,1.3862944,0.0,2.8332133,1,0,0,1,1,0
10240,2014,1,10.430742,10.430742,10.430742,0.69314718,0.69314718,0.69314718,0.56781709,0.074327745,0.34980989,0.1405088,9,2.8332133,0.66066653,4.6913481,0,1,0,1,1,0
10240,2015,1,10.430742,10.430742,10.430742,0.69314718,0.69314718,0.69314718,0.67125338,0.078031883,0.40533334,0.28157747,10,2.0794415,0.97195321,4.3040652,0,1,0,1,1,0
10240,2016,1,10.430742,10.430742,10.430742,0.69314718,0.69314718,0.69314718,,,,,11,0.0,0.0,0.0,0,1,0,1,1,0
10240,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,12,0.0,0.0,0.0,0,1,0,1,1,0
10240,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13,0.0,0.0,0.0,0,1,0,1,1,0
10240,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14,0.0,0.0,0.0,0,1,0,1,1,0
10240,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,15,0.0,0.0,0.0,0,1,0,1,1,0
10240,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16,0.0,0.0,0.0,0,1,0,1,1,0
10240,2022,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,17,0.0,0.0,0.0,0,1,0,1,1,0
10240,2023,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,18,0.0,0.0,0.0,0,1,0,1,1,0
10241,2014,0,13.185583,13.185583,13.185583,1.3862944,1.3862944,1.3862944,0.28895685,0.16151358,0.57480317,0.4682174,12,2.4849067,0.90288794,3.9120231,0,1,0,1,1,0
10241,2015,0,13.185583,13.185583,13.185583,1.3862944,1.3862944,1.3862944,0.33373705,0.11399996,0.51603496,0.47827265,13,2.3978953,1.2269585,4.0430512,0,1,0,1,1,0
10241,2016,0,13.185583,13.185583,13.185583,1.3862944,1.3862944,1.3862944,0.22656944,0.14902848,0.61845386,0.64848143,14,2.4849067,1.1862079,4.6728287,0,1,0,1,1,0
